Timestamp,Control Module Voltage,Engine RPM,Battery Voltage,Coolant Temperature,Speed,MAF Sensor,O2 Sensor
2024-11-28 11:32:39,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:41,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:44,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:46,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:48,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:50,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:52,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:55,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:57,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:32:59,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:01,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:03,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:06,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:08,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:10,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:12,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:15,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:17,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:19,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:21,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:23,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:26,,0.0 revolutions_per_minute,11.7 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
2024-11-28 11:33:28,,0.0 revolutions_per_minute,11.8 volt,65 degree_Celsius,0.0 kilometer_per_hour,N/A,0.455 volt
